"","Date","DateTS","Confirmed_Count","Confirmed_New","Recovered_Count","Recovered_New","Deaths_Count","Deaths_New","Active_Count"
"1","2020-03-13",1584072000,2,2,0,0,0,0,2
"2","2020-03-14",1584158400,10,8,0,0,0,0,10
"3","2020-03-15",1584244800,17,7,0,0,0,0,17
"4","2020-03-16",1584331200,33,16,0,0,0,0,33
"5","2020-03-17",1584417600,36,3,0,0,0,0,36
"6","2020-03-18",1584504000,41,5,0,0,0,0,41
"7","2020-03-19",1584590400,43,2,0,0,0,0,43
"8","2020-03-20",1584676800,70,27,0,0,0,0,70
"9","2020-03-21",1584763200,73,3,15,15,0,0,58
"10","2020-03-22",1584849600,77,4,15,0,0,0,62
"11","2020-03-23",1584936000,84,7,15,0,0,0,69
"12","2020-03-24",1585022400,91,7,15,0,0,0,76
"13","2020-03-25",1585108800,106,15,15,0,0,0,91
"14","2020-03-26",1585195200,107,1,31,16,1,1,75
"15","2020-03-27",1585281600,113,6,39,8,2,1,72
"16","2020-03-28",1585368000,119,6,39,0,2,0,78
"17","2020-03-29",1585454400,129,10,39,0,3,1,87
"18","2020-03-30",1585540800,135,6,39,0,3,0,93
"19","2020-03-31",1585627200,143,8,41,2,3,0,99
"20","2020-04-01",1585713600,144,1,43,2,3,0,98
"21","2020-04-02",1585800000,146,2,43,0,5,2,98
"22","2020-04-03",1585886400,153,7,52,9,7,2,94
"23","2020-04-04",1585972800,155,2,52,0,7,0,96
"24","2020-04-05",1586059200,159,4,52,0,7,0,100
"25","2020-04-06",1586145600,165,6,65,13,7,0,93
"26","2020-04-07",1586232000,166,1,65,0,7,0,94
"27","2020-04-08",1586318400,167,1,65,0,9,2,93
"28","2020-04-09",1586404800,171,4,84,19,9,0,78
"29","2020-04-10",1586491200,175,4,84,0,9,0,82
"30","2020-04-11",1586577600,175,0,93,9,9,0,73
"31","2020-04-12",1586664000,181,6,93,0,9,0,79
"32","2020-04-13",1586750400,189,8,110,17,9,0,70
"33","2020-04-14",1586836800,193,4,111,1,9,0,73
"34","2020-04-15",1586923200,197,4,111,0,9,0,77
"35","2020-04-16",1587009600,204,7,111,0,9,0,84
"36","2020-04-17",1587096000,227,23,113,2,9,0,105
"37","2020-04-18",1587182400,227,0,117,4,9,0,101
"38","2020-04-19",1587268800,256,29,117,0,9,0,130
"39","2020-04-20",1587355200,285,29,117,0,10,1,158
"40","2020-04-21",1587441600,288,3,122,5,10,0,156
"41","2020-04-22",1587528000,298,10,122,0,10,0,166
"42","2020-04-23",1587614400,311,13,126,4,10,0,175
"43","2020-04-24",1587700800,318,7,128,2,10,0,180
"44","2020-04-25",1587787200,323,5,132,4,10,0,181
"45","2020-04-26",1587873600,325,2,137,5,10,0,178
"46","2020-04-27",1587960000,329,4,142,5,10,0,177
"47","2020-04-28",1588046400,329,0,142,0,10,0,177
"48","2020-04-29",1588132800,331,2,142,0,10,0,179
"49","2020-04-30",1588219200,333,2,142,0,10,0,181
"50","2020-05-01",1588305600,335,2,148,6,10,0,177
"51","2020-05-02",1588392000,345,10,148,0,10,0,187
"52","2020-05-03",1588478400,357,12,158,10,10,0,189
"53","2020-05-04",1588564800,361,4,161,3,10,0,190
"54","2020-05-05",1588651200,367,6,164,3,10,0,193
"55","2020-05-06",1588737600,379,12,176,12,10,0,193
"56","2020-05-07",1588824000,381,2,185,9,10,0,186
"57","2020-05-08",1588910400,388,7,190,5,10,0,188
"58","2020-05-09",1588996800,402,14,190,0,10,0,202
"59","2020-05-10",1589083200,414,12,193,3,10,0,211
"60","2020-05-11",1589169600,422,8,205,12,10,0,207
"61","2020-05-12",1589256000,423,1,220,15,10,0,193
"62","2020-05-13",1589342400,440,17,220,0,10,0,210
"63","2020-05-14",1589428800,455,15,223,3,10,0,222
"64","2020-05-15",1589515200,459,4,229,6,10,0,220
"65","2020-05-16",1589601600,504,45,241,12,10,0,253
"66","2020-05-17",1589688000,541,37,241,0,10,0,290
"67","2020-05-18",1589774400,618,77,241,0,10,0,367
"68","2020-05-19",1589860800,749,131,253,12,10,0,486
"69","2020-05-20",1589947200,824,75,253,0,10,0,561
"70","2020-05-21",1590033600,882,58,262,9,10,0,610
"71","2020-05-22",1590120000,944,62,262,0,10,0,672
"72","2020-05-23",1590206400,1010,66,262,0,10,0,738
"73","2020-05-24",1590292800,1121,111,262,0,10,0,849
"74","2020-05-25",1590379200,1177,56,302,40,10,0,865
"75","2020-05-26",1590465600,1211,34,302,0,11,1,898
"76","2020-05-27",1590552000,1245,34,302,0,11,0,932
"77","2020-05-28",1590638400,1327,82,302,0,11,0,1014
"78","2020-05-29",1590724800,1370,43,302,0,14,3,1054
"79","2020-05-30",1590811200,1459,89,311,9,14,0,1134
"80","2020-05-31",1590897600,1510,51,311,0,14,0,1185
"81","2020-06-01",1590984000,1663,153,311,0,17,3,1335
"82","2020-06-02",1591070400,1819,156,334,23,18,1,1467
"83","2020-06-03",1591156800,1952,133,385,51,20,2,1547
"84","2020-06-04",1591243200,2087,135,385,0,20,0,1682
"85","2020-06-05",1591329600,2145,58,385,0,20,0,1740
"86","2020-06-06",1591416000,2316,171,385,0,22,2,1909
"87","2020-06-07",1591502400,2377,61,430,45,22,0,1925
"88","2020-06-08",1591588800,2473,96,487,57,22,0,1964
"89","2020-06-09",1591675200,2632,159,487,0,23,1,2122
"90","2020-06-10",1591761600,2738,106,487,0,23,0,2228
"91","2020-06-11",1591848000,2814,76,487,0,23,0,2304
"92","2020-06-12",1591934400,2879,65,487,0,23,0,2369
"93","2020-06-13",1592020800,2904,25,715,228,24,1,2165
"94","2020-06-14",1592107200,2978,74,835,120,25,1,2118
"95","2020-06-15",1592193600,3062,84,835,0,26,1,2201
"96","2020-06-16",1592280000,3150,88,835,0,27,1,2288
"97","2020-06-17",1592366400,3386,236,835,0,28,1,2523
"98","2020-06-18",1592452800,3484,98,835,0,28,0,2621
"99","2020-06-19",1592539200,3591,107,835,0,30,2,2726
"100","2020-06-20",1592625600,3790,199,835,0,33,3,2922
"101","2020-06-21",1592712000,3918,128,835,0,33,0,3050
"102","2020-06-22",1592798400,4048,130,1327,492,35,2,2686
"103","2020-06-23",1592884800,4186,138,1327,0,35,0,2824
"104","2020-06-24",1592971200,4365,179,1327,0,38,3,3000
"105","2020-06-25",1593057600,4563,198,1327,0,39,1,3197
"106","2020-06-26",1593144000,4779,216,1327,0,41,2,3411
"107","2020-06-27",1593230400,5130,351,1649,322,42,1,3439
"108","2020-06-28",1593316800,5297,167,1649,0,44,2,3604
"109","2020-06-29",1593403200,5530,233,1649,0,48,4,3833
"110","2020-06-30",1593489600,5832,302,1649,0,51,3,4132
"111","2020-07-01",1593576000,6062,230,1649,0,54,3,4359
"112","2020-07-02",1593662400,6273,211,2100,451,57,3,4116
"113","2020-07-03",1593748800,6537,264,2100,0,59,2,4378
"114","2020-07-04",1593835200,6750,213,2100,0,62,3,4588
"115","2020-07-05",1593921600,7169,419,2100,0,65,3,5004
"116","2020-07-06",1594008000,7411,242,2100,0,68,3,5243
"117","2020-07-07",1594094400,7693,282,2100,0,71,3,5522
"118","2020-07-08",1594180800,8010,317,2544,444,75,4,5391
"119","2020-07-09",1594267200,8372,362,2544,0,80,5,5748
"120","2020-07-10",1594353600,8803,431,2671,127,83,3,6049
"121","2020-07-11",1594440000,9178,375,2671,0,85,2,6422
"122","2020-07-12",1594526400,9465,287,2671,0,89,4,6705
"123","2020-07-13",1594612800,9707,242,2671,0,93,4,6943
"124","2020-07-14",1594699200,10010,303,3050,379,96,3,6864
"125","2020-07-15",1594785600,10428,418,3050,0,100,4,7278
"126","2020-07-16",1594872000,10854,426,3255,205,104,4,7495
"127","2020-07-17",1594958400,11191,337,3852,597,107,3,7232
"128","2020-07-18",1595044800,11483,292,3972,120,110,3,7401
"129","2020-07-19",1595131200,11891,408,6073,2101,112,2,5706
"130","2020-07-20",1595217600,12334,443,6728,655,116,4,5490
"131","2020-07-21",1595304000,12774,440,6983,255,120,4,5671
"132","2020-07-22",1595390400,13164,390,7471,488,124,4,5569
"133","2020-07-23",1595476800,13613,449,7752,281,129,5,5732
"134","2020-07-24",1595563200,14263,650,8127,375,134,5,6002
"135","2020-07-25",1595649600,14929,666,8795,668,138,4,5996
"136","2020-07-26",1595736000,15463,534,9746,951,142,4,5575
"137","2020-07-27",1595822400,15988,525,9959,213,146,4,5883
"138","2020-07-28",1595908800,16571,583,10195,236,151,5,6225
"139","2020-07-29",1595995200,17158,587,10421,226,154,3,6583
"140","2020-07-30",1596081600,17859,701,10666,245,158,4,7035
"141","2020-07-31",1596168000,18574,715,10837,171,164,6,7573
"142","2020-08-01",1596254400,19443,869,11129,292,169,5,8145
"143","2020-08-02",1596340800,20206,763,11404,275,174,5,8628
"144","2020-08-03",1596427200,20754,548,11622,218,180,6,8952
"145","2020-08-04",1596513600,21438,684,11875,253,187,7,9376
"146","2020-08-05",1596600000,22299,861,12146,271,195,8,9958
"147","2020-08-06",1596686400,23280,981,12470,324,202,7,10608
"148","2020-08-07",1596772800,24166,886,12960,490,208,6,10998
"149","2020-08-08",1596859200,24961,795,13356,396,215,7,11390
"150","2020-08-09",1596945600,25805,844,14224,868,223,8,11358
"151","2020-08-10",1597032000,26800,995,16930,2706,229,6,9641
"152","2020-08-11",1597118400,27938,1138,19706,2776,238,9,7994
"153","2020-08-12",1597204800,29088,1150,21042,1336,247,9,7799
"154","2020-08-13",1597291200,30369,1281,21385,343,259,12,8725
"155","2020-08-14",1597377600,31381,1012,21580,195,266,7,9535
"156","2020-08-15",1597464000,32607,1226,21747,167,276,10,10584
"157","2020-08-16",1597550400,33755,1148,22700,953,281,5,10774
"158","2020-08-17",1597636800,34802,1047,23575,875,288,7,10939
"159","2020-08-18",1597723200,35697,895,24561,986,297,9,10839
